API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Dec 16 00:28:11 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars Barycenter (4)             {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2033-Dec-31 00:00:00.0000 TDB
Stop  time      : A.D. 2036-Dec-31 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2463962.500000000, A.D. 2033-Dec-31 00:00:00.0000,  1.829076249653928E+08,  1.102206799799209E+08, -2.160842438045755E+06, -1.157156925152287E+01,  2.281787540543199E+01,  7.620913857414493E-01,
2463967.500000000, A.D. 2034-Jan-05 00:00:00.0000,  1.776809670023889E+08,  1.199355093072371E+08, -1.829024922082275E+06, -1.261889729827016E+01,  2.215008382326621E+01,  7.737588467834469E-01,
2463972.500000000, A.D. 2034-Jan-10 00:00:00.0000,  1.720111159275341E+08,  1.293515758499371E+08, -1.492609225112639E+06, -1.362305192860328E+01,  2.143523474273285E+01,  7.833819038057275E-01,
2463977.500000000, A.D. 2034-Jan-15 00:00:00.0000,  1.659171410535854E+08,  1.384492287668143E+08, -1.152474570203908E+06, -1.458213927352348E+01,  2.067647457155130E+01,  7.909801029891650E-01,
2463982.500000000, A.D. 2034-Jan-20 00:00:00.0000,  1.594188743751532E+08,  1.472101845708611E+08, -8.094902071979716E+05, -1.549452114094546E+01,  1.987698348416676E+01,  7.965799641173330E-01,
2463987.500000000, A.D. 2034-Jan-25 00:00:00.0000,  1.525368017159520E+08,  1.556175369692721E+08, -4.645125387511328E+05, -1.635880729686961E+01,  1.903995374299112E+01,  8.002143372370085E-01,
2463992.500000000, A.D. 2034-Jan-30 00:00:00.0000,  1.452919575933699E+08,  1.636557577328552E+08, -1.183825256537646E+05, -1.717384602801311E+01,  1.816856986050903E+01,  8.019217544362460E-01,
2463997.500000000, A.D. 2034-Feb-04 00:00:00.0000,  1.377058244715163E+08,  1.713106894049785E+08,  2.280766285040453E+05, -1.793871331853367E+01,  1.726599066680263E+01,  8.017457868923294E-01,
2464002.500000000, A.D. 2034-Feb-09 00:00:00.0000,  1.298002369320250E+08,  1.785695306869239E+08,  5.740615184018016E+05, -1.865270095039724E+01,  1.633533334732040E+01,  7.997344197666916E-01,
2464007.500000000, A.D. 2034-Feb-14 00:00:00.0000,  1.215972911748143E+08,  1.854208153584495E+08,  9.187903127916902E+05, -1.931530376637365E+01,  1.537965946872277E+01,  7.959394492008673E-01,
